label,id
Miltinho,299
Milton Banana Trio,300
Milton Nascimento,301
Miúcha,302
Moacir Santos,303
Moacyr Franco,304
Modulo 1000,305
Mombojó,306
Monarco,307
Monique Kessous,308
Monobloco,309
Moraes Moreira,310
Moreira Da Silva,311
Moreno Veloso,312
Mundo Livre S/A,313
Márcia Castro,314
Márcio Faraco,315
Márcio Greyck,316
Mônica Salmaso,317
Nana Caymmi,318
Nando Reis,319
Naná Vasconcelos,320
Nara Leão,321
Nação Zumbi,322
Nei Lisboa,323
Nei Van Soria,324
Nelson Cavaquinho,325
Nelson Gonçalves,326
Nelson Sargento,327
Nenhum De Nós,328
Ney Matogrosso,329
Nicola Conte,330
Nicolas Krassik,331
Nilze Carvalho,332
Noel Rosa,333
Noite Ilustrada,334
Noriel Vilela,335
Novos Baianos,336
Nu Braz,337
Ná Ozzetti,338
Núbia Lafayette,339
O Bando De María,340
O Teatro Mágico,341
O Terco,342
Odair Jose,343
Olivia Byington,344
Orlandivo,345
Orlando Silva,346
Orquestra Brasileira de Música Jamaicana,347
Os Borges,348
Os Carbonos,349
Os Cariocas,350
Os Incríveis,351
Os Mulheres Negras,352
Os Mutantes,353
Os Originais Do Samba,354
Os Paralamas Do Sucesso,355
Os Vips,356
Oswaldo Montenegro,357
Pato Fu,358
Patty Ascher,359
Paula Lima,360
Paula Morelenbaum,361
Paula Toller,362
Paulinho Da Viola,363
Paulinho Moska,364
Paulinho Nogueira,365
Paulinho Pedra Azul,366
Paulo Bellinati,367
Paulo Diniz,368
Paulo Moura,369
Paulo Moura & Raphael Rabello,370
Paulo Ricardo,371
Pedro Mariano,372
Peixelétrico,373
Pena Branca E Xavantinho,374
Peninha,375
Pepeu Gomes,376
Pery Ribeiro,377
Pholhas,378
Pixinguinha,379
Plebe Rude,380
Quarteto Em Cy,381
Quarteto Jobim-Morelenbaum,382
Quarteto Novo,383
Quinteto Violado,384
RPM,385
Radio Taxi,386
Rafael Rabello,387
Raiz Do Sana,388
Raphael Rabello,389
Raphael Rabello & Dino 7 Cordas,390
Rastapé,391
Raul Seixas,392
Reginaldo Rossi,393
Renato Borghetti,394
Renato Braz,395
Renato Russo,396
Renato Teixeira,397
Renato e Seus Blue Caps,398
Rio 65 Trio,399
Rita Lee,400
Ritchie,401
Robert Livi,402
Roberta Miranda,403
Roberta Sá,404
Roberto Menescal,405
Roberto Menescal E Seu Conjunto,406
Roberto Ribeiro,407
Roberto Silva,408
Rolando Boldrin,409
Ronnie Von,410
Rosa Passos,411
Rosalia De Souza,412
Rosinha De Valença,413
Rosinha de Valença & Flavio Farias,414
Roupa Nova,415
S-Tone Inc,416
Sa & Guarabyra,417
Sabrina Malheiros,418
Sabrina Malherios,419
Sambalanço Trio,420
Sandra De Sá,421
Secos & Molhados,422
Sempre Livre,423
Seu Jorge,424
Sidney Magal,425
Silvia Machete,426
Silvinha,427
Simone,428
Sivuca,429
Skank,430
Som Imaginario,431
Som Nosso De Cada Dia,432
Stan Getz,433
Sylvia Telles,434
Sérgio Sampaio,435
Taiguara,436
Tamba 4,437
Tamba Trio,438
Tania Maria,439
Tavinho Moura,440
Tavito,441
Teresa Cristina,442
Tetê Espíndola,443
The Fevers,444
The Ipanemas,445
Tianastacia,446
Tim Maia,447
Titãs,448
Tiê,449
Toco,450
Tom Zé,451
Toni Tornado,452
Toninho Horta,453
Toquinho,454
Tribalistas,455
Trio Dona Zefa,456
Trio Esperança,457
Trio Forrozão,458
Trio Madeira Brasil,459
Trio Mocoto,460
Trio Nordestino,461
Trio Potiguá,462
Trio Pé De Serra,463
Trio Sabiá,464
Trio Virgulino,465
Tulipa Ruiz,466
Tunai,467
Ulisses Rocha,468
Ultraje a Rigor,469
Uns E Outros,470
VELHA GUARDA DA PORTELA,471
Vander Lee,472
Vanessa Da Mata,473
Vanusa,474
Vera Loca,475
Verônica Sabino,476
Vicente Celestino,477
Vincius de Moraes,478
Vinícius de Moraes,479
Violeta De Outono,480
Virgínia Rodrigues,481
Vitor Ramil,482
Wagner Tiso,483
Waldik Soriano,484
Waldir Azevedo,485
Waldyr Azevedo,486
Waltel Branco,487
Walter Franco,488
Walter Wanderley,489
Wanda Sá,490
Wanderlea,491
Wanderley Cardoso,492
Wando,493
Wilson Das Neves,494
Wilson Simonal,495
Xangai,496
Yahoo,497
Yamandu Costa,498
Ze Rodrix,499
Zeca Baleiro,500
Zeca Pagodinho,501
Zimbo Trio,502
Zizi Possi,503
Zuco 103,504
Zé Geraldo,505
Zé Keti,506
Zé Miguel Wisnik,507
Zélia Duncan,508
pixingiuinha,509
wander wildner,510
Ó Do Forró,511
